"","X","img","title","console","genre","publisher","developer","critic_score","total_sales","na_sales","jp_sales","pal_sales","other_sales","release_date"
"4",6,"/games/boxart/full_6510540AmericaFrontccc.jpg","Grand Theft Auto V","PS3","Action","Rockstar Games","Rockstar North",9.4,20.32,6.37,0.99,9.85,3.12,"9/17/2013"
"6",8,"/games/boxart/full_5563178AmericaFrontccc.jpg","Grand Theft Auto V","PS4","Action","Rockstar Games","Rockstar North",9.7,19.39,6.06,0.6,9.71,3.02,"11/18/2014"
"9",11,"/games/boxart/827563ccc.jpg","Grand Theft Auto: Vice City","PS2","Action","Rockstar Games","Rockstar North",9.6,16.15,8.41,0.47,5.49,1.78,"10/28/2002"
"11",13,"/games/boxart/3570928ccc.jpg","Grand Theft Auto III","PS2","Action","Rockstar Games","DMA Design",9.5,13.1,6.99,0.3,4.51,1.3,"10/23/2001"
"13",15,"/games/boxart/full_1182151AmericaFrontccc.jpg","Grand Theft Auto IV","X360","Action","Rockstar Games","Rockstar North",10,11.09,6.8,0.14,3.11,1.04,"4/29/2008"
"15",17,"/games/boxart/full_1729769AmericaFrontccc.jpg","Grand Theft Auto IV","PS3","Action","Rockstar Games","Rockstar North",10,10.57,4.79,0.44,3.73,1.62,"4/29/2008"
"19",21,"/games/boxart/full_8047513AmericaFrontccc.jpg","Grand Theft Auto V","XOne","Action","Rockstar Games","Rockstar North",9,8.72,4.7,0.01,3.25,0.76,"11/18/2014"
"20",22,"/games/boxart/1340019ccc.jpg","Grand Theft Auto: Liberty City Stories","PSP","Action","Rockstar Games","Rockstar Leeds",8.8,7.72,2.9,0.24,2.83,1.74,"10/25/2005"
"24",26,"/games/boxart/full_2350454AmericaFrontccc.jpg","Uncharted 2: Among Thieves","PS3","Action","Sony Computer Entertainment","Naughty Dog",9.5,6.74,3.28,0.21,2.22,1.02,"10/13/2009"
"25",27,"/games/boxart/full_7375558AmericaFrontccc.jpg","Red Dead Redemption","PS3","Action","Rockstar Games","Rockstar San Diego",9.5,6.57,2.82,0.17,2.58,1,"10/11/2011"
"26",28,"/games/boxart/full_2634795AmericaFrontccc.jpg","Red Dead Redemption","X360","Action","Rockstar Games","Rockstar San Diego",9.5,6.5,3.77,0.09,2.03,0.6,"5/18/2010"
"27",29,"/games/boxart/7411582ccc.jpg","Driver","PS","Action","GT Interactive","Reflections Interactive",8.5,6.27,3.11,0.02,2.8,0.33,"6/30/1999"
"28",30,"/games/boxart/7540650ccc.jpg","Metal Gear Solid 2: Sons of Liberty","PS2","Action","Konami","Konami Computer Entertainment Japan",9.5,6.05,2.45,0.87,2.01,0.72,"11/12/2001"
"30",32,"/games/boxart/full_9894043AmericaFrontccc.jpg","Metal Gear Solid 4: Guns of the Patriots","PS3","Action","Konami","Kojima Productions",9.3,6,2.63,0.83,1.72,0.81,"6/12/2008"
"33",35,"/games/boxart/full_5252150AmericaFrontccc.jpg","Assassin's Creed II","PS3","Action","Ubisoft","Ubisoft Montreal",9,5.57,2.54,0.21,1.95,0.86,"11/17/2009"
"34",36,"/games/boxart/full_7562642AmericaFrontccc.jpg","Assassin's Creed","X360","Action","Ubisoft","Ubisoft Montreal",8.2,5.55,3.28,0.07,1.64,0.56,"11/13/2007"
"35",37,"/games/boxart/full_batman-arkham-city_591AmericaFront.jpg","Batman: Arkham City","PS3","Action","Warner Bros. Interactive","Rocksteady Studios",9.6,5.54,2.72,0.11,1.89,0.82,"10/18/2011"
"37",39,"/games/boxart/full_8353337AmericaFrontccc.jpg","Assassin's Creed II","X360","Action","Ubisoft","Ubisoft Montreal",9.1,5.3,3.14,0.08,1.55,0.52,"11/17/2009"
"38",40,"/games/boxart/full_989928AmericaFrontccc.jpg","Resident Evil 5","PS3","Action","Capcom","Capcom",8.6,5.1,1.96,1.08,1.42,0.64,"3/13/2009"
"39",41,"/games/boxart/full_1162504AmericaFrontccc.jpg","Grand Theft Auto: Vice City Stories","PSP","Action","Rockstar Games","Rockstar Leeds",8.4,5.08,1.7,0.16,2.03,1.19,"10/31/2006"
"40",42,"/games/boxart/full_7863698AmericaFrontccc.jpg","Uncharted: Drake's Fortune","PS3","Action","Sony Computer Entertainment","Naughty Dog",8.7,4.97,2.32,0.12,1.73,0.8,"11/16/2007"
"42",44,"/games/boxart/full_2363378AmericaFrontccc.jpg","Assassin's Creed","PS3","Action","Ubisoft","Ubisoft Montreal",8.2,4.83,1.91,0.09,2.01,0.82,"11/13/2007"
"44",46,"/games/boxart/full_batman-arkham-city_302AmericaFront.jpg","Batman: Arkham City","X360","Action","Warner Bros. Interactive","Rocksteady Studios",9.5,4.75,2.99,0.04,1.28,0.44,"10/18/2011"
"45",47,"/games/boxart/full_6536899AmericaFrontccc.jpg","Driver 2","PS","Action","Atari","Reflections Interactive",7,4.73,2.36,0.02,2.1,0.25,"11/13/2000"
"46",48,"/games/boxart/8307809ccc.jpg","The Lord of the Rings: The Two Towers","PS2","Action","Electronic Arts","Stormfront Studios",8.3,4.67,1.94,0.08,1.95,0.7,"10/21/2002"
"47",49,"/games/boxart/8585565ccc.jpg","Tomb Raider","PS","Action","Eidos Interactive","Core Design Ltd.",8.9,4.63,2.29,0.13,1.97,0.24,"11/14/1996"
"50",52,"/games/boxart/full_9484527AmericaFrontccc.jpg","Spider-Man: The Movie","PS2","Action","Activision","Treyarch",8.2,4.48,2.71,0.03,1.51,0.23,"4/15/2002"
"52",54,"/games/boxart/full_8831048AmericaFrontccc.jpg","Batman: Arkham Asylum","PS3","Action","Eidos Interactive","Rocksteady Studios",9,4.28,2.26,0.07,1.33,0.63,"8/25/2009"
"54",56,"/games/boxart/full_assassins-creed-revelations_212AmericaFront.jpg","Assassin's Creed: Revelations","PS3","Action","Ubisoft","Ubisoft Montreal",8.8,4.23,1.41,0.1,2.03,0.69,"11/15/2011"
"55",57,"/games/boxart/full_2666802AmericaFrontccc.jpg","Metal Gear Solid 3: Snake Eater","PS2","Action","Konami","KCEJ / Kojima Productions",9,4.23,1.46,0.83,0,1.93,"11/17/2004"
"56",58,"/games/boxart/full_assassins-creed-revelations_328AmericaFront.jpg","Assassin's Creed: Revelations","X360","Action","Ubisoft","Ubisoft Montreal",7.9,4.22,2.28,0.04,1.47,0.44,"11/15/2011"
"61",63,"/games/boxart/full_2497280AmericaFrontccc.jpg","Batman: Arkham Knight","PS4","Action","Warner Bros. Interactive","Rocksteady Studios",8.1,4.11,1.65,0.11,1.68,0.66,"6/23/2015"
"66",68,"/games/boxart/full_2414906AmericaFrontccc.jpg","Far Cry 5","PS4","Action","Ubisoft","Ubisoft",7.9,3.95,1.44,0.15,1.73,0.62,"3/27/2018"
"68",70,"/games/boxart/full_3182726AmericaFrontccc.jpg","Harry Potter and the Sorcerer's Stone","PS","Action","Electronic Arts","Argonaut Games",8,3.73,1.37,0.14,2,0.22,"11/15/2001"
"70",72,"/games/boxart/full_7518379AmericaFrontccc.jpg","Assassin's Creed Syndicate","PS4","Action","Ubisoft","Ubisoft Quebec",8.6,3.6,0.9,0.08,2.06,0.55,"10/23/2015"
"72",74,"/games/boxart/full_1027141AmericaFrontccc.jpg","Grand Theft Auto: Liberty City Stories","PS2","Action","Rockstar Games","Rockstar Leeds",8.3,3.54,1.56,0.07,1.4,0.5,"6/6/2006"
"73",75,"/games/boxart/9254920ccc.jpg","The Getaway","PS2","Action","Sony Computer Entertainment","Team Soho",7.7,3.54,1.23,0.05,1.77,0.49,"1/19/2003"
"74",76,"/games/boxart/full_1668550AmericaFrontccc.jpg","Batman: Arkham Asylum","X360","Action","Eidos Interactive","Rocksteady Studios",9.1,3.54,2.24,0.02,0.95,0.33,"8/25/2009"
