,X,img,title,console,genre,publisher,developer,vg_score,critic_score,user_score,total_shipped,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
1,6,/games/boxart/full_6510540AmericaFrontccc.jpg,Grand Theft Auto V,PS3,Action,Rockstar Games,Rockstar North,NA,9.4,NA,NA,20.32,6.37,0.99,9.85,3.12,9/17/2013,
2,8,/games/boxart/full_5563178AmericaFrontccc.jpg,Grand Theft Auto V,PS4,Action,Rockstar Games,Rockstar North,NA,9.7,NA,NA,19.39,6.06,0.6,9.71,3.02,11/18/2014,1/3/2018
3,11,/games/boxart/827563ccc.jpg,Grand Theft Auto: Vice City,PS2,Action,Rockstar Games,Rockstar North,NA,9.6,NA,NA,16.15,8.41,0.47,5.49,1.78,10/28/2002,
4,13,/games/boxart/3570928ccc.jpg,Grand Theft Auto III,PS2,Action,Rockstar Games,DMA Design,NA,9.5,NA,NA,13.1,6.99,0.3,4.51,1.3,10/23/2001,
5,15,/games/boxart/full_1182151AmericaFrontccc.jpg,Grand Theft Auto IV,X360,Action,Rockstar Games,Rockstar North,9,10,NA,NA,11.09,6.8,0.14,3.11,1.04,4/29/2008,
6,17,/games/boxart/full_1729769AmericaFrontccc.jpg,Grand Theft Auto IV,PS3,Action,Rockstar Games,Rockstar North,9,10,9,NA,10.57,4.79,0.44,3.73,1.62,4/29/2008,
7,21,/games/boxart/full_8047513AmericaFrontccc.jpg,Grand Theft Auto V,XOne,Action,Rockstar Games,Rockstar North,NA,9,9,NA,8.72,4.7,0.01,3.25,0.76,11/18/2014,4/11/2018
8,22,/games/boxart/1340019ccc.jpg,Grand Theft Auto: Liberty City Stories,PSP,Action,Rockstar Games,Rockstar Leeds,NA,8.8,NA,NA,7.72,2.9,0.24,2.83,1.74,10/25/2005,
9,26,/games/boxart/full_2350454AmericaFrontccc.jpg,Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,Naughty Dog,9.2,9.5,9.6,NA,6.74,3.28,0.21,2.22,1.02,10/13/2009,
10,27,/games/boxart/full_7375558AmericaFrontccc.jpg,Red Dead Redemption,PS3,Action,Rockstar Games,Rockstar San Diego,9.1,9.5,NA,NA,6.57,2.82,0.17,2.58,1,10/11/2011,
11,28,/games/boxart/full_2634795AmericaFrontccc.jpg,Red Dead Redemption,X360,Action,Rockstar Games,Rockstar San Diego,9.1,9.5,10,NA,6.5,3.77,0.09,2.03,0.6,5/18/2010,
12,29,/games/boxart/7411582ccc.jpg,Driver,PS,Action,GT Interactive,Reflections Interactive,NA,8.5,NA,NA,6.27,3.11,0.02,2.8,0.33,6/30/1999,
13,30,/games/boxart/7540650ccc.jpg,Metal Gear Solid 2: Sons of Liberty,PS2,Action,Konami,Konami Computer Entertainment Japan,NA,9.5,7,NA,6.05,2.45,0.87,2.01,0.72,11/12/2001,
14,32,/games/boxart/full_9894043AmericaFrontccc.jpg,Metal Gear Solid 4: Guns of the Patriots,PS3,Action,Konami,Kojima Productions,9.5,9.3,9.8,NA,6,2.63,0.83,1.72,0.81,6/12/2008,
15,34,/games/boxart/full_2958031AmericaFrontccc.jpg,LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,Traveller's Tales,NA,8,NA,NA,5.66,3.57,NA,1.57,0.52,11/6/2007,
16,35,/games/boxart/full_5252150AmericaFrontccc.jpg,Assassin's Creed II,PS3,Action,Ubisoft,Ubisoft Montreal,9,9,NA,NA,5.57,2.54,0.21,1.95,0.86,11/17/2009,1/3/2018
17,36,/games/boxart/full_7562642AmericaFrontccc.jpg,Assassin's Creed,X360,Action,Ubisoft,Ubisoft Montreal,7.5,8.2,8,NA,5.55,3.28,0.07,1.64,0.56,11/13/2007,
18,37,/games/boxart/full_batman-arkham-city_591AmericaFront.jpg,Batman: Arkham City,PS3,Action,Warner Bros. Interactive,Rocksteady Studios,NA,9.6,NA,NA,5.54,2.72,0.11,1.89,0.82,10/18/2011,
19,39,/games/boxart/full_8353337AmericaFrontccc.jpg,Assassin's Creed II,X360,Action,Ubisoft,Ubisoft Montreal,9,9.1,NA,NA,5.3,3.14,0.08,1.55,0.52,11/17/2009,
20,40,/games/boxart/full_989928AmericaFrontccc.jpg,Resident Evil 5,PS3,Action,Capcom,Capcom,8.4,8.6,8.8,NA,5.1,1.96,1.08,1.42,0.64,3/13/2009,
21,41,/games/boxart/full_1162504AmericaFrontccc.jpg,Grand Theft Auto: Vice City Stories,PSP,Action,Rockstar Games,Rockstar Leeds,NA,8.4,NA,NA,5.08,1.7,0.16,2.03,1.19,10/31/2006,
22,42,/games/boxart/full_7863698AmericaFrontccc.jpg,Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment,Naughty Dog,8.7,8.7,8.6,NA,4.97,2.32,0.12,1.73,0.8,11/16/2007,
23,44,/games/boxart/full_2363378AmericaFrontccc.jpg,Assassin's Creed,PS3,Action,Ubisoft,Ubisoft Montreal,7.5,8.2,8.5,NA,4.83,1.91,0.09,2.01,0.82,11/13/2007,
24,45,/games/boxart/full_5884504AmericaFrontccc.jpg,LEGO Star Wars: The Complete Saga,DS,Action,LucasArts,Traveller's Tales,NA,7.8,NA,NA,4.77,2.83,NA,1.49,0.45,11/6/2007,
25,46,/games/boxart/full_batman-arkham-city_302AmericaFront.jpg,Batman: Arkham City,X360,Action,Warner Bros. Interactive,Rocksteady Studios,NA,9.5,NA,NA,4.75,2.99,0.04,1.28,0.44,10/18/2011,
26,47,/games/boxart/full_6536899AmericaFrontccc.jpg,Driver 2,PS,Action,Atari,Reflections Interactive,NA,7,NA,NA,4.73,2.36,0.02,2.1,0.25,11/13/2000,
27,48,/games/boxart/8307809ccc.jpg,The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts,Stormfront Studios,NA,8.3,NA,NA,4.67,1.94,0.08,1.95,0.7,10/21/2002,
28,49,/games/boxart/8585565ccc.jpg,Tomb Raider,PS,Action,Eidos Interactive,Core Design Ltd.,NA,8.9,NA,NA,4.63,2.29,0.13,1.97,0.24,11/14/1996,
29,52,/games/boxart/full_9484527AmericaFrontccc.jpg,Spider-Man: The Movie,PS2,Action,Activision,Treyarch,NA,8.2,NA,NA,4.48,2.71,0.03,1.51,0.23,4/15/2002,
30,54,/games/boxart/full_8831048AmericaFrontccc.jpg,Batman: Arkham Asylum,PS3,Action,Eidos Interactive,Rocksteady Studios,9.1,9,NA,NA,4.28,2.26,0.07,1.33,0.63,8/25/2009,
31,56,/games/boxart/full_assassins-creed-revelations_212AmericaFront.jpg,Assassin's Creed: Revelations,PS3,Action,Ubisoft,Ubisoft Montreal,NA,8.8,NA,NA,4.23,1.41,0.1,2.03,0.69,11/15/2011,
32,57,/games/boxart/full_2666802AmericaFrontccc.jpg,Metal Gear Solid 3: Snake Eater,PS2,Action,Konami,KCEJ / Kojima Productions,NA,9,NA,NA,4.23,1.46,0.83,0,1.93,11/17/2004,
33,58,/games/boxart/full_assassins-creed-revelations_328AmericaFront.jpg,Assassin's Creed: Revelations,X360,Action,Ubisoft,Ubisoft Montreal,NA,7.9,NA,NA,4.22,2.28,0.04,1.47,0.44,11/15/2011,
34,63,/games/boxart/full_2497280AmericaFrontccc.jpg,Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive,Rocksteady Studios,NA,8.1,NA,NA,4.11,1.65,0.11,1.68,0.66,6/23/2015,1/4/2018
35,68,/games/boxart/full_2414906AmericaFrontccc.jpg,Far Cry 5,PS4,Action,Ubisoft,Ubisoft,NA,7.9,NA,NA,3.95,1.44,0.15,1.73,0.62,3/27/2018,2/28/2018
36,70,/games/boxart/full_3182726AmericaFrontccc.jpg,Harry Potter and the Sorcerer's Stone,PS,Action,Electronic Arts,Argonaut Games,NA,8,NA,NA,3.73,1.37,0.14,2,0.22,11/15/2001,
37,72,/games/boxart/full_7518379AmericaFrontccc.jpg,Assassin's Creed Syndicate,PS4,Action,Ubisoft,Ubisoft Quebec,NA,8.6,NA,NA,3.6,0.9,0.08,2.06,0.55,10/23/2015,5/4/2018
38,74,/games/boxart/full_1027141AmericaFrontccc.jpg,Grand Theft Auto: Liberty City Stories,PS2,Action,Rockstar Games,Rockstar Leeds,NA,8.3,NA,NA,3.54,1.56,0.07,1.4,0.5,6/6/2006,
39,75,/games/boxart/9254920ccc.jpg,The Getaway,PS2,Action,Sony Computer Entertainment,Team Soho,NA,7.7,NA,NA,3.54,1.23,0.05,1.77,0.49,1/19/2003,
40,76,/games/boxart/full_1668550AmericaFrontccc.jpg,Batman: Arkham Asylum,X360,Action,Eidos Interactive,Rocksteady Studios,9,9.1,NA,NA,3.54,2.24,0.02,0.95,0.33,8/25/2009,
41,77,/games/boxart/full_assassins-creed-brotherhood_1AmericaFront.jpg,Assassin's Creed: Brotherhood,X360,Action,Ubisoft,Ubisoft Montreal,NA,9.1,NA,NA,3.53,2.87,0.03,0.39,0.25,11/16/2010,
42,78,/games/boxart/full_6469736AmericaFrontccc.jpg,LEGO Star Wars: The Video Game,PS2,Action,Eidos Interactive,Traveller's Tales,NA,7.9,NA,NA,3.53,1.98,0.01,1.14,0.41,4/2/2005,
