,Title,Console,Max_Players,Genres,Publishers,Review_Score,US_Sales,Used_Price,Release.Rating,Length.All.PlayStyles.Average,Length.All.PlayStyles.Leisure,Length.All.PlayStyles.Median,Length.All.PlayStyles.Polled,Length.All.PlayStyles.Rushed,Length.Completionists.Average,Length.Completionists.Leisure,Length.Completionists.Median,Length.Completionists.Polled,Length.Completionists.Rushed,Length.Main...Extras.Average,Length.Main...Extras.Leisure,Length.Main...Extras.Median,Length.Main...Extras.Polled,Length.Main...Extras.Rushed,Length.Main.Story.Average,Length.Main.Story.Leisure,Length.Main.Story.Median,Length.Main.Story.Polled,Length.Main.Story.Rushed,US.Sales..millions.,YearReleased,Publisher,Sequel,Re.release,Lifecycle,LifecycleSq,Online,Licensed,Handheld,Accessory,LtdEdition,Multiplatform,GBA,GCN,NDS,Wii,PS2,PS3,PSP,Xbox,X360,Action,Adventure,Educational,Racing,RPG,Simulation,Sports,Strategy,X2K,Acclaim,Activision,Atari,Capcom,Disney,Eidos,EA,Infograme,Konami,Microsoft,Midway,Namco,Nintendo,Rockstar,Sony,Sega,THQ,SquareEnix,Ubisoft,Adult,Anime,Arcade,Battlemech,Boardgame,Cards,Casino,Chess,Comics,Cyberpunk,Detective,Fighting,Flight,Helicoptor,HistoricalBattle,Horror,InteractiveFiction,InteractiveFictionGraphics,InteractiveMovie,Managerial,MartialArts,MedievalFantasy,Meditative,MentalTraining,Naval,Paddle,PersistentUniverse,Pinball,PostApocalyptic,Puzzle,RealTime,RhythmAction,SciFi,Shooter,Spy,Stealth,SurvivalHorror,Tank,Train,TurnBased,VideoBackdrop,VisualNovel,Ecology,Language,Geography,Graphics,Health,History,Maths,Music,PreSchool,Reading,Religion,Science,Sociology,Typing,AmericanFootball,Basketball,Baseball,Boxing,Bowling,Cricket,Fishing,Cycling,Golf,Hockey,Horse,Hunting,Motorcycle,OffRoad,Olympiad,Paintball,PingPong,Pool,Rugby,Sailing,Skateboarding,Snowboarding,Soccer,Surfing,Tennis,Tricks,Volleyball,Wakeboarding,Wrestling,FirstPerson,Platform,Isometric,SideScrolling,TopDown,ThirdPerson
1,?kami,Nintendo Wii,1,Action,Capcom,90,0.39,17.95,M,44.96666667,73.11666667,41.5,315,29.03333333,57.2,78.06666667,55.1,70,43.06666667,45.86666667,73.93333333,43.8,124,34.75,36.96666667,48.86666667,36.83333333,121,25.86666667,0.39,2008,"Capcom Entertainment, Inc., CE Europe Ltd.",0,1,2,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Ace Combat X: Skies of Deception,Sony PSP,1,"Action,Simulation",Namco,75,0.32,22.95,E,4.883333333,8.5,4.116666667,14,3.083333333,12.5,12.5,12.5,1,12.5,4.516666667,4.95,4.733333333,4,3.983333333,4.183333333,6.483333333,3.75,9,2.816666667,0.32,2006,"Namco Bandai Games America Inc., Namco Bandai Games Inc.",1,0,2,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Advance Wars: Days of Ruin,Nintendo DS,4,Strategy,Nintendo,86,0.43,17.95,E,33.93333333,68.98333333,22,35,19.48333333,90.51666667,100.1166667,90,3,80.91666667,41.06666667,72.58333333,33,13,27.08333333,20.11666667,36.1,18.08333333,19,15.05,0.43,2008,"Nintendo of America Inc., Nintendo of Europe GmbH",1,0,4,16,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4,Advance Wars: Dual Strike,Nintendo DS,1,Strategy,Nintendo,90,0.3,17.95,T,70.36666667,249.55,27.83333333,34,33.55,292.5,360.6166667,250,4,245.6166667,73.86666667,102.7666667,63.83333333,10,54.41666667,24.2,27.93333333,23.56666667,20,20.93333333,0.3,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,Age of Empires: Mythologies,Nintendo DS,1,Strategy,THQ,78,0.17,17.95,T,16.6,18.3,16.6,2,14.9,13.2,13.2,13.2,1,13.2,20,20,20,1,20,0,0,0,0,0,0.17,2008,"ak tronic Software & Services GmbH, THQ Inc.",1,0,4,16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,Age of Empires: The Age of Kings,Nintendo DS,1,Strategy,,80,0.19,17.95,T,57.85,156.95,50,38,32.78333333,62.41666667,83.1,70,9,39.1,75.93333333,164.2333333,61,10,40.06666667,46.15,73.03333333,46,19,29.03333333,0.19,2006,"Majesco Entertainment Company, Majesco Europe Ltd.",1,0,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,Amped 3,X360,1,Sports,2K,72,0.13,14.95,E,8.566666667,9.883333333,9,9,6.383333333,9,9,9,2,9,10.03333333,10.65,10.58333333,4,9.15,6.333333333,7.416666667,6.666666667,3,5.25,0.13,2005,2K Sports,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,Animal Crossing: City Folk,Nintendo Wii,1,Simulation,Nintendo,73,1.78,29.95,T,191.25,431.4833333,65,15,74.05,617.4166667,676.1333333,617.4166667,2,558.7,173.5666667,308.3833333,200,7,103.3833333,69.83333333,107.95,62,6,47.95,1.78,2008,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",1,0,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Animal Crossing: Wild World,Nintendo DS,1,Simulation,Nintendo,86,2.6,24.95,T,168.9666667,437.3666667,80.53333333,24,72.36666667,408.5833333,555.8,314.6666667,4,308.3,180.5333333,265.1333333,180,9,105.1333333,72.38333333,135.5833333,70,11,45.58333333,2.6,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Canada Ltd., Nintendo of Europe GmbH",1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,Apollo Justice: Ace Attorney,Nintendo DS,1,"Adventure,Simulation",Capcom,78,0.24,24.95,T,19.85,25.5,19.93333333,96,13.95,19.91666667,24.03333333,20,39,13.96666667,22.36666667,26.4,21.03333333,6,19.85,19.51666667,23.25,19.7,51,15.23333333,0.24,2008,"Capcom Entertainment, Inc., CE Europe Ltd.",1,0,4,16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
