"","X","img","title","console","genre","publisher","developer","critic_score","user_score","total_sales","na_sales","jp_sales","pal_sales","other_sales","release_date"
"15",17,"/games/boxart/full_1729769AmericaFrontccc.jpg","Grand Theft Auto IV","PS3","Action","Rockstar Games","Rockstar North",10,9,10.57,4.79,0.44,3.73,1.62,"4/29/2008"
"19",21,"/games/boxart/full_8047513AmericaFrontccc.jpg","Grand Theft Auto V","XOne","Action","Rockstar Games","Rockstar North",9,9,8.72,4.7,0.01,3.25,0.76,"11/18/2014"
"24",26,"/games/boxart/full_2350454AmericaFrontccc.jpg","Uncharted 2: Among Thieves","PS3","Action","Sony Computer Entertainment","Naughty Dog",9.5,9.6,6.74,3.28,0.21,2.22,1.02,"10/13/2009"
"26",28,"/games/boxart/full_2634795AmericaFrontccc.jpg","Red Dead Redemption","X360","Action","Rockstar Games","Rockstar San Diego",9.5,10,6.5,3.77,0.09,2.03,0.6,"5/18/2010"
"28",30,"/games/boxart/7540650ccc.jpg","Metal Gear Solid 2: Sons of Liberty","PS2","Action","Konami","Konami Computer Entertainment Japan",9.5,7,6.05,2.45,0.87,2.01,0.72,"11/12/2001"
"30",32,"/games/boxart/full_9894043AmericaFrontccc.jpg","Metal Gear Solid 4: Guns of the Patriots","PS3","Action","Konami","Kojima Productions",9.3,9.8,6,2.63,0.83,1.72,0.81,"6/12/2008"
"34",36,"/games/boxart/full_7562642AmericaFrontccc.jpg","Assassin's Creed","X360","Action","Ubisoft","Ubisoft Montreal",8.2,8,5.55,3.28,0.07,1.64,0.56,"11/13/2007"
"38",40,"/games/boxart/full_989928AmericaFrontccc.jpg","Resident Evil 5","PS3","Action","Capcom","Capcom",8.6,8.8,5.1,1.96,1.08,1.42,0.64,"3/13/2009"
"40",42,"/games/boxart/full_7863698AmericaFrontccc.jpg","Uncharted: Drake's Fortune","PS3","Action","Sony Computer Entertainment","Naughty Dog",8.7,8.6,4.97,2.32,0.12,1.73,0.8,"11/16/2007"
"42",44,"/games/boxart/full_2363378AmericaFrontccc.jpg","Assassin's Creed","PS3","Action","Ubisoft","Ubisoft Montreal",8.2,8.5,4.83,1.91,0.09,2.01,0.82,"11/13/2007"
"167",169,"/games/boxart/full_7230441AmericaFrontccc.jpg","Star Wars: The Force Unleashed","Wii","Action","LucasArts","Krome Studios",6.8,7.4,1.86,1.11,0,0.56,0.19,"9/16/2008"
"205",210,"/games/boxart/full_1783749AmericaFrontccc.jpg","Devil May Cry 4","PS3","Action","Capcom","Capcom",8.2,8.2,1.58,0.58,0.34,0.45,0.2,"2/5/2008"
"281",286,"/games/boxart/full_3265725AmericaFrontccc.png","Bayonetta","PS3","Action","Sega","PlatinumGames",8.6,7.2,1.21,0.44,0.21,0.4,0.16,"1/5/2010"
"326",331,"/games/boxart/1395823ccc.jpg","Bully: Scholarship Edition","X360","Action","Rockstar Games","Rockstar Vancouver/Mad Doc Software",8.1,10,1.09,0.53,0.03,0.42,0.11,"3/5/2008"
"329",334,"/games/boxart/full_dantes-inferno_129AmericaFront.jpg","Dante's Inferno","PS3","Action","Electronic Arts","Visceral Games",7.3,8.3,1.08,0.64,0.04,0.28,0.12,"2/9/2010"
"386",391,"/games/boxart/full_1963214AmericaFrontccc.jpg","Bayonetta","X360","Action","Sega","PlatinumGames",8.9,9.5,0.93,0.51,0.09,0.25,0.08,"1/5/2010"
"445",453,"/games/boxart/full_4296430AmericaFrontccc.jpg","MadWorld","Wii","Action","Sega","PlatinumGames",8.1,8.1,0.78,0.45,0.02,0.24,0.07,"3/10/2009"
"448",456,"/games/boxart/9620325ccc.jpg","Tom Clancy's Splinter Cell: Double Agent","X360","Action","Ubisoft","Ubisoft Shanghai",8.5,8.3,0.78,0.67,0.01,0.04,0.06,"10/17/2006"
"611",622,"/games/boxart/full_8600640AmericaFrontccc.jpg","Tom Clancy's HAWX","PS3","Action","Ubisoft","Ubisoft Romania",7.5,8.4,0.56,0.21,0.05,0.22,0.09,"3/3/2009"
"617",628,"/games/boxart/full_316783AmericaFrontccc.jpg","No More Heroes","Wii","Action","Ubisoft","Grasshopper Manufacture",8.2,8.3,0.56,0.29,0.04,0.17,0.05,"1/22/2008"
"671",682,"/games/boxart/full_8428240AmericaFrontccc.jpg","Fire Emblem Warriors","NS","Action","Nintendo","Omega Force",7.3,9.6,0.51,0.22,0.1,0.14,0.04,"10/20/2017"
"1107",1124,"/games/boxart/full_7077727AmericaFrontccc.jpg","Dead Rising: Chop Till You Drop","Wii","Action","Capcom","Capcom Production Studio 1 / TOSE Software",6.7,7.2,0.29,0.15,0.05,0.07,0.02,"2/24/2009"
"1137",1154,"/games/boxart/full_4614296AmericaFrontccc.jpg","Darksiders","PS3","Action","THQ","Vigil Games",7.8,8.5,0.28,0.02,0.02,0.14,0.1,"1/5/2010"
"1184",1201,"/games/boxart/full_7439003AmericaFrontccc.jpg","Deadly Premonition","X360","Action","Ignition Entertainment","Access Games",6,7.8,0.26,0.18,0,0.06,0.02,"2/23/2010"
"1413",1436,"/games/boxart/full_7534643AmericaFrontccc.jpg","Dragon Ball: Revenge of King Piccolo","Wii","Action","Namco Bandai","Bandai Namco Games",6.1,8,0.2,0.12,0.03,0.03,0.02,"10/20/2009"
"7970",8092,"/games/boxart/full_7823563AmericaFrontccc.jpg","Grand Theft Auto: Chinatown Wars","DS","Adventure","Rockstar Games","Rockstar Leeds/North",9.5,9.6,1.33,0.58,0.05,0.56,0.14,"3/17/2009"
"7987",8109,"/games/boxart/176609ccc.jpg","Shadow of the Colossus","PS2","Adventure","Sony Computer Entertainment","Team ICO",9.1,9.4,1.14,0.78,0.2,0.03,0.13,"10/18/2005"
"7992",8114,"/games/boxart/full_5430709AmericaFrontccc.jpg","Prince of Persia","PS3","Adventure","Ubisoft","Ubisoft Montreal",8.3,8.2,1.07,0.47,0.03,0.41,0.17,"12/2/2008"
"8004",8126,"/games/boxart/full_1352912AmericaFrontccc.jpg","Prince of Persia","X360","Adventure","Ubisoft","Ubisoft Montreal",8.2,6,1.01,0.54,0.02,0.34,0.1,"12/2/2008"
"8066",8188,"/games/boxart/8211837ccc.jpg","Okami","PS2","Adventure","Capcom","Clover Studio",9.4,9,0.63,0.11,0.15,0.03,0.34,"9/19/2006"
"8074",8196,"/games/boxart/full_1132316AmericaFrontccc.jpg","Okami","Wii","Adventure","Capcom","Ready at Dawn Studios",9,9.6,0.6,0.43,0.04,0.09,0.05,"4/15/2008"
"8099",8224,"/games/boxart/9124389ccc.gif","Hotel Dusk: Room 215","DS","Adventure","Nintendo","Cing",8,6.9,0.54,0.26,0.22,0.04,0.03,"1/22/2007"
"8138",8263,"/games/boxart/full_9897576AmericaFrontccc.jpg","Silent Hill: Shattered Memories","Wii","Adventure","Konami","Climax Group",7.3,6.8,0.47,0.22,0.01,0.19,0.05,"12/8/2009"
"8357",8485,"/games/boxart/full_9734021AmericaFrontccc.png","Afrika","PS3","Adventure","Natsume","Rhino Studios",6,8,0.22,0.12,0.08,0,0.01,"10/6/2009"
"13515",13721,"/games/boxart/full_8885459AmericaFrontccc.jpg","Paper Mario: Color Splash","WiiU","Action-Adventure","Nintendo","Intelligent Systems",7.4,6.4,0.87,0.35,0.08,0.37,0.06,"10/7/2016"
"14430",14657,"/games/boxart/full_4144122AmericaFrontccc.jpg","Street Fighter IV","PS3","Fighting","Capcom","Capcom / Dimps Corporation",9.3,9,4.19,2.04,0.59,1.05,0.52,"2/17/2009"
"14445",14672,"/games/boxart/full_2620419AmericaFrontccc.jpg","Street Fighter IV","X360","Fighting","Capcom","Capcom / Dimps Corporation",9.3,9.3,2.95,1.83,0.15,0.7,0.26,"2/17/2009"
"14561",14788,"/games/boxart/4080766ccc.jpg","Dragon Ball Z: Budokai Tenkaichi 3","Wii","Fighting","Atari","Spike / Bandai Namco Games",7.5,8.6,1.03,0.32,0.26,0.36,0.08,"12/3/2007"
"14934",15167,"/games/boxart/full_946154AmericaFrontccc.jpg","Castlevania Judgment","Wii","Fighting","Konami","Konami / Eighting",4.6,7.5,0.16,0.12,0.01,0.02,0.01,"11/18/2008"
"15053",15289,"/games/boxart/full_1346510AmericaFrontccc.jpg","BlazBlue: Calamity Trigger Portable","PSP","Fighting","Aksys Games","Arc System Works",7.9,8.4,0.11,0.07,0.03,0.01,0.01,"3/9/2010"
"15113",15349,"/games/boxart/full_1533995AmericaFrontccc.jpg","Battle Fantasia","X360","Fighting","Aksys Games","Arc System Works",7,8,0.09,0.07,0.01,0,0.01,"9/16/2008"
"16582",16842,"/games/boxart/full_4418677AmericaFrontccc.jpg","Guitar Hero: On Tour","DS","Misc","Activision","Vicarious Visions",7.1,8.1,3.46,2.1,0.01,1.01,0.35,"6/22/2008"
