,Name,Platform,Max_Players,Genre,Publisher,Review_Score,Used_Price,Age_Rating,Length_Average,Length_Leisure,Length_Median,Length_Polled,Length_Rushed,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Score,User_Count,Sequel,Online,Licensed,Handheld,Multiplatform,Third_Person
1,300: March to Glory,PSP,1,Action,Warner Bros. Interactive Entertainment,55,14.95,M,7.4,7.4,7.4,1,7.4,2007,0.27,0.08,0,0.07,0.41,7.1,14,0,0,1,1,0,1
2,7 Wonders of the Ancient World,DS,1,Puzzle,Funsta,60,17.95,E,7.483333333,11.83333333,4.85,4,4.466666667,2007,0.1,0.01,0,0.01,0.13,8.3,48,0,0,0,1,1,1
3,7 Wonders of the Ancient World,PSP,1,Puzzle,Mumbo Jumbo,51,17.95,E,7.483333333,11.83333333,4.85,4,4.466666667,2007,0.07,0,0,0.01,0.08,8.3,48,0,0,0,1,1,1
4,Ace Combat 6: Fires of Liberation,X360,1,Simulation,Atari,80,19.95,T,13.45,17.3,13.75,14,9.116666667,2007,0.69,0.04,0.22,0.06,1.01,7.9,101,1,1,0,0,0,1
5,Ace Combat X: Skies of Deception,PSP,1,Simulation,Namco Bandai Games,75,22.95,T,4.883333333,8.5,4.116666667,14,3.083333333,2006,0.37,0.3,0.12,0.19,0.99,8.3,30,1,1,0,1,0,0
6,Advance Wars: Days of Ruin,DS,4,Strategy,Nintendo,86,17.95,E10+,33.93333333,68.98333333,22,35,19.48333333,2008,0.43,0.12,0,0.05,0.61,8.7,96,1,1,0,1,0,0
7,Advance Wars: Dual Strike,DS,1,Strategy,Nintendo,90,17.95,E,70.36666667,249.55,27.83333333,34,33.55,2005,0.3,0.02,0.04,0.03,0.39,9,163,1,0,0,1,0,0
8,Afrika,PS3,1,Adventure,Unknown,63,47.95,E10+,28.26666667,32.75,30.43333333,8,22.66666667,2008,0.12,0,0.08,0.01,0.22,6.2,34,0,0,0,0,0,1
9,Agatha Christie: And Then There Were None,Wii,1,Adventure,The Adventure Company,50,17.95,T,7.933333333,9.85,7.5,6,6.433333333,2008,0.06,0.01,0,0.01,0.07,6.2,12,0,0,1,0,0,1
10,Agatha Christie: Evil Under the Sun,Wii,1,Adventure,The Adventure Company,46,17.95,T,7.616666667,8.433333333,7.616666667,2,6.8,2008,0.06,0.01,0,0.01,0.08,7.3,6,1,0,1,0,0,1
11,Age of Empires: Mythologies,DS,1,Strategy,THQ,78,17.95,E10+,16.6,18.3,16.6,2,14.9,2008,0.16,0.03,0,0.02,0.21,6.9,20,1,0,0,1,0,0
12,Age of Empires: The Age of Kings,DS,1,Strategy,THQ,80,17.95,E10+,57.85,156.95,50,38,32.78333333,2006,0.18,0.02,0,0.02,0.22,7.9,59,1,0,0,1,0,0
13,Alex Rider: Stormbreaker,DS,1,Action,THQ,48,12.95,T,6.5,6.5,6.5,1,6.5,2006,0.06,0,0,0,0.07,6.1,10,0,0,1,1,1,1
14,Alien Syndrome,PSP,1,Role-Playing,Sega,51,12.95,T,2.783333333,2.983333333,3,3,2.566666667,2007,0.07,0,0,0.01,0.08,6,9,1,1,0,1,1,1
15,Alien Syndrome,Wii,4,Role-Playing,Sega,48,12.95,T,2.783333333,2.983333333,3,3,2.566666667,2007,0.05,0,0,0,0.06,7.1,23,0,0,0,0,1,1
16,All-Pro Football 2K8,PS3,6,Sports,Take-Two Interactive,73,9.95,E10+,12,12,12,1,12,2007,0.14,0,0,0.01,0.15,7.3,21,1,1,1,0,1,1
17,All-Pro Football 2K8,X360,4,Sports,Take-Two Interactive,75,7.95,E10+,12,12,12,1,12,2007,0.24,0,0,0.02,0.26,6.8,52,1,1,1,0,1,1
18,Alone in the Dark,Wii,1,Adventure,Atari,39,14.95,M,6.6,9.166666667,6.116666667,18,4.333333333,2008,0.09,0.08,0,0.02,0.18,4.4,34,0,0,0,0,1,1
19,Alone in the Dark,X360,1,Adventure,Atari,58,14.95,M,6.6,9.166666667,6.116666667,18,4.333333333,2008,0.14,0.3,0,0.05,0.48,5.7,162,0,0,0,0,1,1
20,Amped 3,X360,1,Sports,Take-Two Interactive,72,14.95,T,8.566666667,9.883333333,9,9,6.383333333,2005,0.13,0.02,0,0.01,0.16,7.1,36,1,0,0,0,0,1
