,Name,Platform,Max_Players,Genre,Publisher,Review_Score,US_Sales,Used_Price,Age_Rating,Length.All.PlayStyles.Average,Length.All.PlayStyles.Leisure,Length.All.PlayStyles.Median,Length.All.PlayStyles.Polled,Length.All.PlayStyles.Rushed,US.Sales..millions.,Year,Sequel,Re.release,Lifecycle,LifecycleSq,Online,Licensed,Handheld,Multiplatform,PersistentUniverse,Pinball,PostApocalyptic,Puzzle,RealTime,RhythmAction,SciFi,TurnBased,VideoBackdrop,VisualNovel,Ecology,Language,Geography,Graphics,Health,History,Maths,Music,PreSchool,Reading,Religion,Science,Sociology,Typing,AmericanFootball,Basketball,Baseball,Boxing,Bowling,Cricket,Fishing,Cycling,Golf,Hockey,Horse,Hunting,Motorcycle,OffRoad,Olympiad,Paintball,PingPong,Pool,Rugby,Sailing,Skateboarding,Snowboarding,Soccer,Surfing,Tennis,Tricks,Volleyball,Wakeboarding,Wrestling,FirstPerson,Platform.1,Isometric,SideScrolling,TopDown,ThirdPerson,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer
1,300: March to Glory,PSP,1,Action,Warner Bros. Interactive Entertainment,55,0.26,14.95,M,7.4,7.4,7.4,1,7.4,0.26,2007,0,0,3,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.27,0.08,0,0.07,0.41,55,31,7.1,14,Collision Studios
2,7 Wonders of the Ancient World,DS,1,Puzzle,Funsta,60,0.1,17.95,E,7.483333333,11.83333333,4.85,4,4.466666667,0.1,2007,0,0,3,9,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.01,0,0.01,0.13,60,7,8.3,48,Hot Lava Games
3,7 Wonders of the Ancient World,PSP,1,Puzzle,Mumbo Jumbo,51,0.08,17.95,E,7.483333333,11.83333333,4.85,4,4.466666667,0.08,2007,0,0,3,9,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07,0,0,0.01,0.08,51,10,NA,NA,MumboJumbo
4,Ace Combat 6: Fires of Liberation,X360,1,Simulation,Atari,80,0.58,19.95,T,13.45,17.3,13.75,14,9.116666667,0.58,2007,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.69,0.04,0.22,0.06,1.01,80,54,7.9,101,Project Aces
5,Ace Combat X: Skies of Deception,PSP,1,Simulation,Namco Bandai Games,75,0.32,22.95,T,4.883333333,8.5,4.116666667,14,3.083333333,0.32,2006,1,0,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.37,0.3,0.12,0.19,0.99,75,26,8.3,30,Project Aces
6,Advance Wars: Days of Ruin,DS,4,Strategy,Nintendo,86,0.43,17.95,E10+,33.93333333,68.98333333,22,35,19.48333333,0.43,2008,1,0,4,16,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.43,0.12,0,0.05,0.61,86,55,8.7,96,Intelligent Systems
7,Advance Wars: Dual Strike,DS,1,Strategy,Nintendo,90,0.3,17.95,E,70.36666667,249.55,27.83333333,34,33.55,0.3,2005,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3,0.02,0.04,0.03,0.39,90,49,9,163,Intelligent Systems
8,Afrika,PS3,1,Adventure,Unknown,63,0.1,47.95,E10+,28.26666667,32.75,30.43333333,8,22.66666667,0.1,2008,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.12,0,0.08,0.01,0.22,63,12,6.2,34,Rhino Studios
9,Agatha Christie: And Then There Were None,Wii,1,Adventure,The Adventure Company,50,0.05,17.95,T,7.933333333,9.85,7.5,6,6.433333333,0.05,2008,0,0,2,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.06,0.01,0,0.01,0.07,50,23,6.2,12,AWE Games
10,Agatha Christie: Evil Under the Sun,Wii,1,Adventure,The Adventure Company,46,0.05,17.95,T,7.616666667,8.433333333,7.616666667,2,6.8,0.05,2008,1,0,2,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.06,0.01,0,0.01,0.08,46,6,7.3,6,AWE Games
